Tweet of the development set,True class,Predicted class with word-based,Predicted class BPE
"Olibe, one ka o ya eli? Account gbakwalu agba oo. I nwee madu na Fidelity, juo ese. Mana guy man is working towards something. Uche ya di ya [URL]",positive,negative,negative
"@user Nne, ndo o. Nwanyị ọma, oya smile na",positive,positive,positive
@user Ezigbo nwanne mmadu😍😍,positive,positive,positive
"@user Jesú M, A huru m gi n'anya karisia ihe nilé E ji m obim nilé chegharia na mmehe m megheri gi E kwela ka m korapu onwe m ozo n'ebe i no Mee ka m n'ahu gi n'anya mgbe obuna Bia jiri m mee ihe obuna masiri gi 🙏🏾 Let us Pray 🛐🤲🏾",positive,positive,positive
"@user Ifii baby, ikwuru ezi okwu. Igbo Amaka; hoohaa!!!",positive,positive,positive
@user Lol. Ezigbo mmadu,positive,negative,negative
"🎵🎶Amam amasi amasi Ngalaba j'isi ndum oh Onye anyi n'asopuru Onye okwu onu ya bu """"""""""""""""A na Amen🎵🎶 #Gratefulheart #happysundayeveryone #ThanksgivingSunday 💐💐💐🌻🌻🍗🍗🍖🍛🍜🍝🍲🍦🍨🍸🍷 @user COZA, The Wealthy… [URL]",positive,positive,positive
Chukwu gozie gi papa [URL],positive,positive,positive
Kpo kpo di kpo Kpo kpo kpo 🎶🎶,positive,positive,positive
What happened? Koro Anyi Ka Obi di Anyi nma..... [URL],positive,positive,positive
"Igbo ndi oma ekele m unu.. Ngwanu, let's go [URL]",positive,positive,positive
@user @user Inwero nsogbu cha cha,positive,negative,negative
"@user happy birthday onye life! chukwu gozie ghi, ma nye ghi ogologo ndu na ahu si ike.",positive,positive,positive
@user @user Ndi ezigbo mmadu,positive,negative,negative
@user @user Ezigbo Eligwe oooo 😁😁😁,positive,negative,negative
"Aga mu ako ihe chukwu mere mu n'elu uwa, Ihunanya Chineke karisia solumtochukwu 🙌🙌🙌",positive,positive,positive
Abụ m eze nwanyị na okpueze. M ga-achị ruo ogologo ndụ. #mrshustle… [URL],positive,positive,positive
Chineke nna bikozienu abum nwa gi ooo😭😭😭😭 [URL],positive,positive,negative
Chukwu AGOZIGO GI!!!!! ILLBLISS (Video) [URL],positive,positive,positive
"@user Nnanyiukwu, o kwa Ekene kam ne kene ghi. Nnanyiukwu, Ututu oma ooooo",positive,positive,positive
@user Okwu gi kwu oto ka amu!,positive,positive,negative
Otu tu Oma,positive,positive,positive
Anom naka eze nke eligwe... Ujor adighi atum o,positive,positive,positive
@user @user [NUM] union bank sir plss ikpere m di n’ala 😭😭😭🙏🙏🙏,positive,positive,positive
@user Huge congrats Ndi ọma.,positive,positive,positive
🎶🎵#NP🔊 Onye Eze - @user on #WhatsUpKANO 📻🎧🎙️w/@user Listen here👇🏾[URL],positive,positive,positive
"#CombinedService #ParentingWithEase ♫O tie, Nso!!!!! X[NUM] Onye ndi muozi na mmadu n'ekele X[NUM]♫ @user",positive,positive,positive
@user ekpere gị ga ere... añụrị ncheta ụbọchị ọmụmụ gị odogwu. Chukwu chebe ma debe gị.,positive,positive,positive
@user @user @user Uche gi Dia full time. Kedu ebe ino na [NUM],positive,negative,negative
@user @user Onye oma na ala owerri!!!,positive,positive,positive
@user Ewoo🙆🏻‍♀️🙆🏻‍♀️ iwegi dajuo nwokeoma..😁Chukwu ga-ezitara gi nwaanyioma ga-ahuginanya nkeoma😁,positive,negative,negative
@user @user @user @user Chukwu onye Okike!,positive,positive,positive
@user @user ekpu zim okpu eze juo vico kyngz..onye isi happy birthday..blood one love,positive,positive,positive
Maka na ihe oma anaghi agwu agwu [URL],positive,positive,positive
@user Ubochi taa dikwara gi mma.,positive,positive,positive
NP-Kpo Kpo Di Kpo(rmx) by @user #workchop with @user @user,positive,positive,positive
"@user Oga m, ekene aro ofu. Abialu m ogbe unu na izu galu aga. O ga-adikwalu gi mma o! Dalu rinne.",positive,positive,positive
@user Eziokwu bù Ndû,positive,positive,negative
Happy birthday osiliora @user Chukwu gọzie gị.,positive,positive,positive
Anyi na eri ezigbo nri🕺🏼🕺🏼💃💃💃 [URL],positive,positive,positive
@user Ihe oma akokwala gi. Amen,positive,positive,positive
@user Nwannem oooo. Chukwu gozie gi,positive,positive,positive
#WackyWednesday on the #MorningRushIB w/ @user #Np Chukwu Agozigo Gi - @user,positive,positive,positive
@user Rapu m aka ooh. Jehovah bụ onye na-azụ m dịka atụrụ 😂,positive,positive,negative
"Akachukwu di n""""""""""""""""ya [URL]",positive,positive,positive
@user Anyi di ike n'oru karia ndi mba ozo.,positive,positive,positive
@user Tobechukwu Maka na chukwu agozigo gi,positive,positive,positive
@user @user @user @user @user Odogwu umunri... Good evening Nnukwu mmadu,positive,positive,positive
@user N'ezie #ImoBuNkeAnyiNile. Chineke gbaa gi ume n'afa Jesu!👍,positive,positive,positive
@user @user @user Ya diri gi na mma . Nwanne.,positive,positive,positive
"March [NUM]th never reach but I don receive gifts wey plenty... Chineke nna nke bi n'igwe.. Nara ekele, nara mbulie elu... Ka otito were diri aha nso gi",positive,positive,positive
🎶🎵🎹 Hail my Jesus Ebube [NUM]x di ke #JesusEmbassyIb #WhatIsInYourHands,positive,positive,positive
"@user @user @user @user @user @user @user I ga adi ka echi, maka na echi adighi agwu agwu! Iseeeee!!!",positive,positive,negative
@user Ada kedụ onye na-akusu gị n'ụtụtụ a?,positive,positive,positive
🎤Aka aka ya Aka Jehovah na eme mma Olu ebube ya Nke na erughari na ebe m no🎤 #DCService #FirstService #Worship,positive,positive,positive
Kpam kpam dim di kpam kpam with phoneh. OK #TheVoiceNigeria,positive,negative,positive
Okwa asina m gi gbagharam 😩 [URL],positive,negative,negative
"Igbo prayer has not started until you hear... """"""""""""""""Obu n'aha Jizos..."""""""""""""""" """"""""""""""""Obi n'ike n'obara Jizos..."""""""""""""""" """"""""""""""""Ya mere ezi onye nwe anyi na Chineke ayi..."""""""""""""""" 🤣😂🏃🏾🏃🏾🏃🏾",positive,positive,positive
"#TWHSunriseService #HOTRService ♬Okaka Onye kere ihe nile, agada gbachiri uzo, onye nwe ike♬ @user",positive,positive,positive
@user @user @user @user @user @user @user Nwa mechiri akwukwo😁,positive,positive,negative
"@user @user Nwanne ekweghi m, ụlọ-akwụkwọ anyi bu odogwu ọkàcha mma n'otu ebe ìfè nílé n'eme .",positive,positive,positive
@user @user @user @user @user @user @user @user @user @user @user @user Ụtụtụ ọma nne ọ 😀😀👍,positive,positive,positive
@user That's a lie ooo. Anam asu igbo. Anam ede igbo. Udo diri gi,positive,positive,positive
Nwanne album gị sọ ná ife a na eme.... Jisie ike 🔥🔥🔥💪👍 [URL],positive,positive,positive
Ututu oma umu Igbo ibem Ogadagidi na nteje si m kele unu Otu onye ana asi unu abiala #IgboProverbFriday #IgboTwitterCommunity #IgboAmaka @user @user @user @user @user @user @user @user [URL],positive,positive,positive
@user Ezigbo Nwa afor ji eme onu,positive,positive,positive
👍 👆.. Keep em 👆 @user - JeHova bu onYe na edum di Ka aturu '! StraiGht [NUM]! Udo… [URL],positive,positive,positive
@user @user @user Nwoke ọma di egwu. Ezigbote nwannem. Jisike!,positive,positive,positive
@user You welcome sweetheart.. Biko bia dm kowaram ka gina jack siri wèrè ruo kam mara ihe mu na yaa ga ehe fess,positive,positive,positive
#NP CHUKWU AGOZIGO GI @user #ROADSHOW W/THE MUSICDYNAMITE @user #TGIF #FUNKYFAAJIFRIDAY #TUNEIN,positive,positive,positive
Olisa Ebuka Chukwu bi n'eligwe O soso gi na enedu'm ❤️,positive,positive,positive
@user M ne kene gi🌚,positive,positive,negative
#PraiseAndWorship 🎵Onye Ye nme nma...Lekwa impermeable Na la... Chineke Idi nma...🎵 #FinishWell #WatchNightService,positive,positive,positive
"Ndi banyi unu asala chu, nke onye chiri ya zelu. Ututu tuturu njo ma tutara anyi ihe oma. Ukwu anyi ji bata ga aka nke anyi ji pu nma. Eke kelu uwa chekwaba anyi. Ome ihe jide Ofo, makana oji Ofo ga ana. Daalunu.",positive,positive,positive
@user @user @user @user @user @user @user @user @user @user Nke a amaka! Ya gazie! ✊✊,positive,positive,positive
@user @user @user @user @user @user @user @user @user @user @user @user @user @user Asa bụ so mmadụ 🙏👌,positive,negative,positive
@user Aww. Nsogbu adiro 😀 Dalu nwannem,positive,positive,negative
@user Jisie ike nwanyị ọma,positive,positive,positive
@user Hehehe onye nkem 😊😊😊🤗🤗🤗🤗,positive,positive,positive
Ndị nkè anyị si na Ihe dàrà na ala atụ ọ la aja... Ka anyị kasịe obi ike kele Chukwu. To those that lost their lives may God give the families the fortitude to bear the loss. #Ozoemena,positive,positive,positive
"Onwa November ga mara-gi mma. Amara, aru-isike ka Jehova ge ji cho-gi nma. Ya na Ngozi puru iche... [URL]",positive,positive,positive
"Igbo bụ Igbo ekele mụ ụnụ ooo Igbo dịrị nụ Ahịa ji ụtụtụ were zụọ na afọr Nnobi, mana ka ya bụ nwa Mgbafọokoyeudo na akwado ije ahia ya bụ ọkịrị bịara gbaa ama na onwere nwanyị obodo sịrị na onye zụrụ ihe n'aka ya ọ kwụọ nha puku naịra ise.",positive,positive,positive
"Chideraaa Akwaugo Achalaugo Nwanyi Olaedo Omalicha Ada Nnaya Chukwu Gozie gi 🙏🏻🙏🏻🙏🏻 @user Lagos, Nigeria [URL]",positive,positive,positive
"Taata bu ubochi puru iche! Ubochi taata otutu afo gara gara ka nnukwu Mmadu biara uwa. Nwoke oma di mma. I ga-adi ka echi, maka echi adighi agwu agwu! Ngozi Chukwu ga akwu gi n'ihu, ebube ya ga eso gi n'azu. Amen! Isee!! Ekele Ubochi ncheta omumu @user [URL]",positive,positive,positive
@user @user Nne odiro gị egwu? I need this love too ọ.,positive,negative,negative
@user 🙂Nsogbu adiro. Jisie ike,positive,positive,negative
Ubochi ta bu ubochi amara.. Bia nara nzoputa,positive,positive,positive
@user Ee! Dalu Onye m 🙏🙌💪,positive,positive,positive
@user Afa gi nkea bukwa daachi 😁,positive,negative,negative
ezi ehihie ọ bụla na onye ọ bụla nke Gị Ka ngọzi na-eso gị na ezinụlọ gị [URL],positive,positive,positive
@user Na ebezi kwanu 😋 Ma anyi afuro na December obi ama di m mma o,positive,positive,negative
@user God BLESS Nnukwu,positive,positive,positive
@user @user Ah ah. Lekwanu hot gyal. Baby oku 🔥😊😊😊,positive,negative,negative
#YouDeyFlenjor: Onye Dinma 🎧@user #MakeEBetterForYou 🔛📻w @user,positive,positive,positive
"Nwa nnà, Ị́ gbalịa là nke ụkwụ. Kam jù kela gị, ebe ka anyị g'enweta tu akwụkwọ gị a? Ya gaziere gị. [URL]",positive,positive,positive
@user Nne!! 👑👑.. ibu Ezigbo Gold!,positive,positive,positive
@user Ezemmuo ụtụtụ ọma. On behalf of the Shevil Spirits I bring you ekele ụtụtụ. Ka Osebuluwa nọnyeere gị 🙏,positive,positive,positive
@user Ezigbo oyo o 😂😂,positive,negative,negative
"@user @user @user @user @user @user @user @user @user @user @user @user Ezigbo nwanne m Onwekwanu nwa ada be anyị ana anụ na Nagbana, kama a marọ m aha be dị ya.",positive,positive,negative
Adighi azu nwanne na ahia... Ezi nwanne amaka!,positive,positive,positive
Noble Chibuzör Igwe,positive,positive,positive
"@user Ji si ike nwanne! Mgbe ike guru gi, I ga kwusi ihe ine me😝😝😝 Mi o gbo Yoruba o🙄",positive,negative,negative
@user Lol onye igbo 💨,positive,negative,negative
NP Kpo Kpo Di Kpo - @user // #DreamLounge With @user &amp; @user #PartyAnimals🐼🐵 #ThrowbackThursday,positive,positive,positive
"Onye anakpó, nwere ihe öna eme. Happy Palms Sunday @user [URL]",positive,positive,positive
Kpo Kpo di Kpo Kpo Kpo😂😅 [URL],positive,positive,positive
@user Ji si ike nwanna,positive,negative,positive
Olisa daalụ na mmadụ abụghị Chukwu,positive,positive,positive
"@user Onye Ayala nwanne ya . Nke a na ato m ka mmanu anwu, Biko ndi no na portharcourt ha aga enwe ogbako yiri nkea, uche mu di ya",positive,positive,negative
@user Nke a atogi special🙄,positive,positive,negative
"@user @user @user Eziokwu Nwanne m, adighi arahu ura na bicycle.,nke ejizi akpo uga na express. Ihe oma Chukwu Okike rutekwe @user aka oo",positive,positive,positive
"@user Gozie kwa gị, daalụ",positive,positive,positive
@user Dipo onye mmemme! Ndewo.,positive,positive,positive
🎶 I bu onye dinma eh Onye dinma eh Nara Ekele. 🎶 #AbujaTwitterCommunity #HolyGhostInvasion #DCService #DCGwarinpa [URL],positive,positive,positive
@user @user Lo l ezigbo trash,positive,positive,negative
"@user Chukwuokikeabiama gozie gi nwa Chineke, ezigbo nwafo igbo",positive,positive,positive
Chineke ónyé nzọpụta [URL],positive,positive,positive
"@user @user @user Ka sir, chukwu gozie gi",positive,positive,positive
"Chukwu gbaa unu ume, ma mepeere unu uzo. Iseee [URL]",positive,positive,positive
@user @user Ji de kà iji nwanne 👍👌👌,positive,positive,positive
@user Hustle ooh. My Brother Hustle Onye oma na sampolo,positive,positive,positive
"NP """"""""""""""""Baby Okwu"""""""""""""""" By @user #WorkChopIB w @user x @user",positive,positive,positive
@user Umu Igbo bu Dachhiiiiiiii. Ndi Chukwu tere mmanu,positive,positive,positive
@user Odogwu ndị Igbo ji eme ọnụ....,positive,positive,positive
@user @user @user Lol. Ụtụtụ ọma my brother. Mgbe onye jiri teta...😋,positive,positive,positive
NP O Di Ni Ka Chukwu - @user ft @user // #TheMiddayExpress With @user MixBy @user #InspireMyTuesday [URL],positive,positive,positive
@user 😁 Gị nwa hapụ zia ụka ị bịara kilibe zia dị nà nwunye ná nyekolita ekene nke ụdọ,positive,positive,negative
@user @user @user @user Ututu Oma Ada @user Good Morning Dike 🙌🙌🙌,positive,positive,positive
"@user Onye ndidi n'eri azụ ukpo. Nwayọ nwayọ bụ ije agwọ. Ebe onye ọsọ ruu ka onye ije ga-eru. Jisie ike, Ada.",positive,positive,positive
@user Gbam !! Ugbu a ka ibiaranu. Onu awagom ochi Dike ka ibu💪🤗✅,positive,positive,positive
@user @user @user @user @user @user @user @user @user @user @user Happy birthday Ikeoha Ndi Igbo 🎂🎈🎉❤️,positive,positive,positive
Happy Birthday Ezigbo Nwannem @user Chukwu okike welu ngozi kasi ngozi choo gi nma.. [NUM]+ sure looks good on you.. [URL],positive,positive,positive
"Happy birthday Omalichanwa. Chukwu Gozie gi , nye gi ogologo ndu n’ahu Ike [URL]",positive,positive,positive
"@user Egwu talu nchala, Onye Egwu!!! Happy Birthday Sir, Daalu riine Maka akuko na Egwu gi.",positive,positive,positive
@user Ina eshi Ndu Ndu 😅🤣,positive,positive,positive
"Desmond Elliot, Alexx Ekubo, Ebube Nwagbo, Oma Nnadi star in “Being Annabel” | Watch the Trailer [URL] [URL]",positive,positive,positive
"Mentor:. Ụtụtụ ọma Iyom Anenih Iyom: Eji m aka na ọlu na ga ọfuma Sule Lamido Iyom: Ihe oma diri, Ije ọma Mentor: Eaa! Dalu Thanks Ndi Anambra for the warmth reception.",positive,positive,positive
"na ohaneze gbakoro aka na-akpa ububo nke ndaputa ya ga-akwalite odinala n'omenala Igbo anyi. Ma ndi omasiri ikwalite ihe gbasara ndi Igbo makwa ndi ota-abukpo-anya, nke ka nke bu na ngwucha ya, o bu maka odimma asusu Igbo. Ekele kelere m Chimamanda, Ada Igbo tuuru Ugo, maka...",positive,positive,positive
@user @user Ada dị mma.... 😂😂😂👍,positive,positive,positive
@user Chineke agaghị ekwe ka nke karịrị anyị bịakwute anyi🙏🙏,positive,positive,positive
"@user Nnem si gi """"""""""""""""nsogbu adighi, unless ma obu onye ji aka ya esogbu onwe ya... Ala adighi mma bu uru ndi nze n'ozo (now Ghana). Ghana were nwayo, ka ofe roro aro, zuoro ha ofe... Oyata adikwa mee! Otekata aka, odi njo, oga adikwa mma.",positive,positive,negative
Ndi Igboamaka😘Anyi bu ndi meme na ndi obiocha 🙌🙌 Ndi igbo ekene mu nuuu,positive,positive,positive
@user @user Agam a gaa na temple nke be m ma gwa Amadioha ka mmiri zoo 😎⚡🌦️⛈️🌩️🌧️💧💦,positive,positive,positive
@user Buh I buru asa na 😭😭😭,positive,negative,negative
"Ndi Twitter! Ekele munoo oo Otutu oma doctor , unna do well 🤙🏽 [URL]",positive,positive,positive
#PlayingNow Chukwu agozigo gi @user @user @user na #Ogendiigbo 📻W/ @user na @user 🎧Live Stream: [URL] 🎄#TuneIn,positive,positive,positive
Chukwu obi oma,positive,positive,positive
Go odi ogoriba oge [URL],positive,positive,positive
Ibuchukwu ibu GI nmadu Na you be God Almighty God Pst @user #Tvoice #praiseandworship #midweekservice,positive,positive,positive
"@user Onye oma, abeg bless me 😂😂",positive,positive,positive
Hahaha. Nke a tọrọ m special [URL],positive,positive,negative
@user @user @user @user Okwu gị kwu ọtọ chairman,positive,negative,negative
"@user Chimnonyelum, Anu ana-agba egbe,o na-ata nri. Ekwueme[NUM], Oji obara akpu nwa. Nwanne otu onye. Chinahuzo,Chinagozim,Omemma, Otu onye ana-asi unu abiala. Agbanweghi agbanwe Di nwanyi ajadu. Odogwu n'agha. Chinaedumebi. Chukwuokike imeka oo",positive,positive,positive
Nwanyi óma ma obi m 😘 [URL],positive,positive,positive
Chukwu Onye Olu Ebube 🙏,positive,positive,positive
@user @user A furu m gi n'anya 😘,positive,positive,positive
"Ónyé mébé íhe ya jidekwanụ ọfọ n'aka..."""""""" """"""""Ogene Jesus na-ekwu"""""""" Beautiful weekend good people #IgboAmaka @user @user @user @user @user @user @user @user @user [URL]",positive,positive,negative
Nwa mara nma. Nwa Nne na Nna ya zuru ofuma. Ada di ora nma. Morning [URL],positive,positive,positive
"Ịma mma Chukwu, ọnụ apụghị ịkọ ya. Ịhụnanya ya, karịrị anyị na aghọta. Udo nke ọ na-enye ụwa apụghị inye ya... O kwesịrị otito, Hallelujah. Good morning. May the month of August bring to us good tidings.. Happy New Month..",positive,positive,positive
Egwu ukwu!!! Igbo Amaka!!! [URL],positive,positive,positive
Odighi onye... Odighi onye... Odighi onye eeeeeee... N'eligwe N'eluwa... Odighi onye di ka gi.... 🕺🕺🕺🕺🕺 Rehearsing my steps for tomorrow. #TE[NUM] #LetsWorshipJesus,positive,positive,positive
@user @user 🤣 🤣 Nkea bụ nke anyi,positive,negative,negative
@user @user Nwannem ooo!!! Chukwu gozie gi. Stay safe.,positive,positive,positive
@user @user @user @user @user Ana ekwu kwan maka cutis cable ka ọ bụ maka a-z oil! Men nwere men nwere men nwe men,positive,positive,negative
Blood of Zachariah! Jesus onye Naze! 😲 [URL],positive,positive,positive
Jehova bụ onye nazụm dị ka atụrụ; ọ dịghị ihe kọrọm.- Abụ- ọma [NUM]:[NUM],positive,positive,positive
Igbo nwere mmadu👌 [URL],positive,positive,positive
Chineke n'eme mma #Praise #NCFService #DCService @user,positive,positive,positive
"Ô si ha kpebe ekpere... Ô si ha mene ôpipia... Ô si ha kpebe ekpere maka njo nke uwa. Otito diri Jesu na nduebighi ebi, amen! #Fatima[NUM] /[NUM]",positive,positive,positive
Onye Olu ebube daalu 🙌,positive,positive,positive
Ana m ekele gị maka onyinye nke ịhụ ụbọchị ọzọ Daalụ🙏🏾 [URL],positive,positive,positive
Oluwa bule yooo! Dalụ ezigbo mmadụ! Thanks my gee [URL],positive,positive,positive
😂 😂 😂 Onye Nkuzi was right [URL],positive,negative,negative
@user @user @user Ada mmadu 😘 Chukwu gozie gi Nwaanyioma 🙏.,positive,positive,positive
Happy birthday @user. Nwayioma Chineke Gozie gi nkeoma nkeoma,positive,positive,positive
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Onye nke m 🙌🏾,positive,positive,negative
@user @user @user @user @user kudos! Jisie ike!,positive,positive,negative
@user Udo nwoke oma🙌,positive,positive,positive
#NowOnLyriCal[NUM]Ces VIDEO: Sis. Blessing Emmanuel – Chineke Onyedika Gi [URL],positive,positive,positive
@user Udo nwanne mmadu. Daalu.,positive,positive,positive
Ụtụtụ Ọma asa mara mma [URL],positive,positive,positive
Eriwa Pt[NUM] groovy @user #Enyi-[NUM] Nwanne Tuo Ndu Mmanu Mehn... @user Aba Enyimba City [URL],positive,positive,positive
@user Thanks Bro. O wu Chukwu n'egosi anyi uzo.,positive,positive,positive
@user Oge be anyi... Dalu,positive,positive,positive
@user Iseeee. Gozikwara gị Nwa nna☺️,positive,positive,positive
Igbo m ji eme ọnụ ekenee m unu ooooooooh!!! Ka taata na-echi maalụ anyị mma.....iseeee!!! K'anyị na-eme emume ncheta ọgụ bịafra; ndị niile nụlụ ọgụ ma ndị bịafra nwụrụ maka ọgụ bịafra. K'anyị tinye n'ekpere. #BiafraHeroesDay[NUM] #BIAFRARemembranceDay [URL],positive,positive,positive
Nwanyi oma ilaferela oh!!!😂😂😂😂😂😂😂😂😂😂 [URL],positive,positive,negative
@user @user @user Nnwaanyi ọma... Otu Budweiser,positive,positive,positive
@user @user Anuri Ncheta Ubochi Omumu Gi Odogwu Nwoke @user . Aka Chukwu di ya,positive,positive,positive
"@user @user @user @user @user @user @user @user @user Onye oma, ndi a e nwerọ nsogbu. 🤣😂😃",positive,positive,negative
🎷Onye ne mema Le'iper'm nala Chineke idinma.....🎷 #Praise #TheDoves #CelebrationService,positive,positive,positive
@user Kai! 🙆🏽‍♂️😭😭😁😁😁 Thanks Mpa Nnukwu... 🙏,positive,positive,negative
Nri ndị oga 😂,positive,positive,positive
#OGAMADAMOFFICESHOW #NP NWATA DI NMA @user FT @user CC @user @user @user @user,positive,positive,positive
PROUD NWA ONYE IGBO 💪💪💪 [URL] [URL],positive,positive,positive
Happy Birthday @user ! Nwa mara nma ! Asa nwa na gidi! My banker! Nne this party is still on!!! Doesn't stop until ..... Negodu ka osi di ogo!!! Ihe OMA Nile ruo GI aka! Chukwu choro m GI mma [URL],positive,positive,positive
@user Lol Ndi nweru Obi agu,positive,negative,negative
Ezigbo okwu di ya !!! #ThursdayMotivation [URL],positive,negative,positive
agaghi echefu ndi dike anyi #BiafraHeroesDay[NUM] [URL],positive,positive,positive
Ada Igbo ekele kwam gi Nne🙌 [URL],positive,positive,positive
God save Ndi Igbo (and everyone else) in Oshodi and its environs today. Chukwu zoba anyi.,positive,positive,positive
Ihere adihi eme ndi kwere na aha ya. Ihere adihi eme ndi kwere na okwu ya😁😁😁 Akpoaza💃🏾💃🏾💃🏾 TBT,positive,positive,negative
@user Scatter is an understatement nne. E di ka ice cream. Omalicha nwanyi.,positive,positive,positive
🎤Aga m ahu Ihe m ga eme Ka m jawa Chineke mma🎤 #DCService #FirstService #Praises,positive,positive,positive
"Udo dịrị gị, Ahmed Musa... #NGA #NGAARG #WorldCup",positive,positive,positive
Proudly #igbo Ndi be anyi ekele my unu,positive,positive,positive
Onye Ndi Mu'ozi na mmadu n'ekele Onye Ndi Mu'ozi na mmadu n'ekele Onye Ndi Mu'ozi n'akpo isi ala eh #DCService # CombinedService #Worship,positive,positive,positive
Bianu Sorom Sorom ke le Chi mo o Bianu buli e ee Bule Jesus elu Nma nma dirigi o o o Chineke onye we rum Otito dirigi o o o Na r'e ekele 😁,positive,positive,positive
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user 😂🤣😂🤣 Nwatakiri bugodi confam iyoo,positive,negative,negative
NP OGOLOGO NDU @user FT @user // On #THROWBACKHITZ with @user #CHILLINEMPIRE #HALELEMAHMA,positive,positive,positive
"Spurs, Chukwu gozie gi! ☺️ #TOTLEI",positive,positive,positive
"@user Nwaanyị ọma banye na app store chọta SwiftKey. Mgbe nwetere ya, ghoputa asụsụ Igbo na asụsụ ndị ọzọ ị chọrọ. Ọ ga dịrị gị na nma",positive,positive,positive
"Nwa nna, O'ga dili gi mma.. [URL]",positive,positive,positive
@user Aka chukwu di ya🤣,positive,positive,positive
"Ifunanya, ahu o di gi mma? [URL]",positive,negative,negative
@user Daalụ nwoke oma,positive,positive,positive
"@user dede m, anam ekele. Ihe n'ile eme di nma. Chukwunna gba gi ume ma nye kwa gi Ike. Amen",positive,positive,positive
"Agam asi ya mma mma. Mma mma Jesus, onye ebere! #STIR[NUM]",positive,positive,positive
Ndi ana agbalu mbo.❤ God bless them. [URL],positive,positive,positive
"#SunriseService ♪♪Otu a ka Chineke anyi ra Agidigba o, Agidigba oo♪♪ @user @user @user",positive,positive,positive
@user Chineke kere ihe oma ebea,positive,positive,positive
@user @user Ofu onye anasi unu abiala... Dimkpa ekelem gi 🙌🏾🙌🏾🙌🏾🙌🏾 Odogwu,positive,positive,positive
"Ojadike nà kpọ ọdogwu ugboro abụọ, n'ụbọchị nke ndụ nà n'ụbọchị ọnwụ...... Ọdogwu @user ekene ngi ma kene kwa ife ná e kweru gị egwú...... Ya dịrị gị nà mma ọ 🙌🙏💪 [URL]",positive,positive,positive
"[NUM] page, headache burst... echi gaa bu echi oma✌",positive,positive,positive
"#Woship @user leading @user in the song """"""""""""""""Odighi onye di ka gi"""""""""""""""" #ThanksGivingService #HOTRService",positive,positive,positive
"God's time is the best. Oge Chukwu ka'nma! 🙏🏾 #UnilagOlodo @user VGC, Lekki [URL]",positive,positive,positive
"@user Ututu oma, nwanne'm nwanyi.",positive,positive,positive
Happy Birthday @user. Ezigbote Mmadu. Chukwugozie gi.,positive,positive,positive
🎶 Onyedikagi Ekene diri gi Onyene mema 🎶,positive,positive,positive
@user @user @user Onye Amuma Uche 🙌,positive,positive,positive
@user @user Odogwu di OK,positive,positive,positive
"@user @user @user Onye ajuju agighi e fu uzo... kam ju kwa aju, hohaa!",positive,positive,negative
"Ekele dịrị gị ónyé kéré eligwe n'uwa. Ṅara mbụ li élú. Ónyé mèrè kà anyị hụ ụbọchị nke tà, ṅara ekele na ojija mma ná áhà Jizọs Kraịst bú onye nwé anyị. Amén.! Ụnụ á bolachi.",positive,positive,positive
Happy birthday Didi nwa! Nwa eji eje obodo oyibo!… [URL],positive,positive,positive
@user @user Chai.... ka chukwu gozie gi😂 Amen!!!,positive,positive,positive
Ada ada ..ezigbo oriaku...Oga Adiri gi mma [URL],positive,positive,positive
@user Aya gi Amaka.. 😍😘,positive,negative,positive
Nwa Igwe of Afikpo 👑 Nma n'ma nu. Udo diri umu nne'm🙏🏽 #UrhoboGarment 😍👌🏾 #IgboKwenu #UrhoboWado… [URL],positive,positive,positive
Onye Chukwu telu mmanu na him dey wear the crown.,positive,positive,positive
"#BCCGloryCentre Praise &amp; Worship... """"""""""""""""Onye ke lu wa E mela, e mela E mela o o o E mela o o o Onyekeluwa e mela""""""""""""""""",positive,positive,positive
🎤Chukwu oma Onye oma nna Chukwu oma Chi Obioma🎤 #DCService #FirstService #Praises,positive,positive,positive
"@user #Mgp.. Ututu oma Ndi be anyi, ofu Asusu gamasim imuta bu asusu Yoruba maka na ya bu asusu na-agbakam isi Oge obuna Ana asu ya",positive,positive,positive
"If an anambra man loves you.... Nwanne, Chukwu agozi go gi...",positive,positive,positive
@user @user Ifugo ihe m na-ekwu since... Amara bu Eze nwaanyi,positive,positive,positive
Congratulations @user Odogwu eji eje Mba na Uwa nile.,positive,positive,positive
@user Ezege chukwu gozie gi👐,positive,positive,positive
@user Amaá wu so nma Nwanyị eji eje mbà,positive,positive,positive
#TWHMidYearThanksgiving ♪Echetawom ihe omere Jesus onye obi oma♪ @user,positive,positive,positive
@user Onye ndu obodo Enugwu bu Ifeanyi Ugwuanyi bu ezigbo onye ndu nwere egwu Chineke. Ka anyi puta nu n'igwe binyere ya aka na ubosi ntulika na abia abia. #VoteUgwuanyi,positive,positive,positive
"@user @user @user @user Nwanne, ifea ruru onye obula... Ututu bu so nma.. Me I wan go play ball sha",positive,negative,positive
"Brotherly. Ụdọ di Anyị na Cho akụ, nke si aka Chukwu. Ọkwa Lagos kam nọ kita [URL]",positive,positive,positive
@user Udo diri gi nnem,positive,positive,positive
"Goodnight ndi nkem .. chukwu gozie unu nile na otu na otu , Amen!",positive,positive,positive
